video_url,video_id,likes,comments,shares,saves,tags,description,data_index,scraped_at
https://www.youtube-nocookie.com/embed/7MWQvtPu0IM,7MWQvtPu0IM,1,0,1,1,"['#owenjones', '#nogi', '#halfguard', '#hipandkneepost', '#switchsides', '#outsidecamping', '#camping', '#backstep', '#lowkneeshieldpass', '#kneeshieldpass', '#zguardpass', '#footage', '#sethbelisle']",09:29 - This is beautiful. Owen is working to pass a low knee shield. He drives his shin over the top of the knee shield leg and uses a backstep to switch sides to begin outside camping with a hip and knee post.,10,2025-04-08T18:07:30.011330
https://www.youtube-nocookie.com/embed/GTlYiuddbRo,GTlYiuddbRo,0,0,0,4,"['#eddiecummings', '#nogi', '#submission', '#crossashi', '#cummingstrap', '#doubletrouble', '#insideheelhook', '#skimtheleg', '#saddle', '#411', '#honeyhole', '#legentanglement', '#leglock', '#heelhook', '#insideheelhooksubmission', '#footage']","07:18 - From cross ashi with double trouble, Eddie transitions into a cumming's trap before finishing the inside heel hook.",11,2025-04-08T18:07:45.514504
https://www.youtube-nocookie.com/embed/NYFjzwoeTf4,NYFjzwoeTf4,19,0,7,14,"['#nogi', '#underhook', '#crossgrip', '#elbowtie', '#armtrap', '#turningescape', '#back', '#straightjacket', '#resource', '#lessimpressedmoreinvolvedbjj', '#rotationprevention']","00:01 - When trapping arms from the back, we have to use our top leg to trap the arm which means our opponent will go into a turning escape to defend. We will need to use our arms to stop the turning escape so our legs are free to trap the arm. We can do this by either being heavy on the top shoulder or taking the bottom shoulder off the mat.",12,2025-04-08T18:08:06.337924
https://www.youtube-nocookie.com/embed/NpyA1XkiXGs,NpyA1XkiXGs,1,0,1,2,"['#nogi', '#concept', '#guardpass', '#gripfight', '#seatedopenguardpass', '#openguardpass', '#resource', '#lessimpressedmoreinvolvedbjj', '#splitsquat']","04:29 - When we force a seated guard player supine, if there is a connection to our right hand and we decide to run away from the grip to our left, this is a very aggressive approach as the bottom player will have their bottom arm free to attack us as we enter the split squat. However, if it does work, then we can likely get very deep into a guard pass as the guard player does not have their top a...",13,2025-04-08T18:08:28.952023
https://www.youtube-nocookie.com/embed/64YEQUicrc8,64YEQUicrc8,3,0,2,0,"['#wrestling', '#standing', '#seatbelt', '#destabilization', '#breakdown', '#footage', '#matreturn', '#sebastianrivera', '#jackmueller', '#broomstick']",02:42 - Jack has a standing seatbelt and uses a broomstick before kicking out the near leg to return Sebastian to the mat in a belly down situation.,14,2025-04-08T18:08:51.898163
https://www.youtube-nocookie.com/embed/1y5PyV2Ac_I,1y5PyV2Ac_I,3,0,2,2,"['#jozefchen', '#nogi', '#guardpass', '#hipandkneepost', '#loosepassing', '#legdrag', '#outsidecamping', '#camping', '#backstep', '#frontheadlockentry', '#openguardpass', '#supineopenguardpass', '#footage']",14:46 - Jozef uses loose passing in one direction to threaten a leg drag in the other. He then uses a back step to get into his hip and knee post camping. It is a really good battle and results in Jozef taking top position in the front headlock.,15,2025-04-08T18:09:08.435819
https://www.youtube-nocookie.com/embed/PEztgI5ub-A,PEztgI5ub-A,1,0,2,1,"['#lachlangiles', '#nogi', '#technique', '#modifiedchairsit', '#back', '#nohooks', '#backtake', '#resource']","01:29 - From the underhook side with no hooks, your can use a modified chair sit to get the defender between your knees. To do this, you want to flare your knee so you can shoot your foot through so the defender ends up between your knees.",16,2025-04-08T18:09:21.995707
https://www.youtube-nocookie.com/embed/S_2Pz5jtQOY,S_2Pz5jtQOY,1,0,1,0,"['#wrestling', '#standing', '#singleleg', '#dogfight', '#shelfleg', '#underhook', '#gobehind', '#limparm', '#turtleentry', '#footage', '#zauruguev', '#levanmetreveli']",04:20 - A single leg leads to the dogfight. The underhook player limp arms out and shelves the leg to go behind.,17,2025-04-08T18:09:43.976716
https://www.youtube-nocookie.com/embed/Hzj5eGpuHEM,Hzj5eGpuHEM,5,0,8,7,"['#nogi', '#concept', '#openguard', '#supineopenguard', '#connection', '#resource', '#lessimpressedmoreinvolvedbjj']","00:30 - As the guard player, our goal is to make and maintain connection with the purpose and managing distance and destabilizing our opponent. However, open guard is a very dynamic position and it can be difficult for the guard player to make the initial connection to slow the guard passer down. The goal of this video is to help you as a supine guard player make and maintain connection to the sta...",18,2025-04-08T18:10:02.818145
https://www.youtube-nocookie.com/embed/aD0hnUOcOmE,aD0hnUOcOmE,1,0,0,1,"['#ethancrelinsten', '#adrianluna', '#nogi', '#hq', '#crosskneecut', '#headquarters', '#14guardentry', '#footage']","01:46 - From HQ, the top player takes an underhook and uses a cross knee cut to get to 1-4 Guard.",19,2025-04-08T18:10:18.736719
